N,sr,lr,sigma,IP,esr,kl,accuracy
800,0.4,0.94,0.1,True,0.39999999999999963,0.0665048130458202,0.285
800,0.4,0.94,0.1,True,0.4000000000000008,0.07260221236791548,0.3
800,0.4,0.94,0.1,True,0.3999999999999993,0.09472961675998856,0.29
800,0.4,0.94,0.1,True,0.40000000000000085,0.14463490038109905,0.285
800,0.4,0.94,0.1,True,0.4000000000000007,0.10739300160414027,0.325
800,0.4,0.94,0.1,True,0.3999999999999999,0.08833409423005997,0.285
800,0.4,0.94,0.1,True,0.4000000000000007,0.1584538185082782,0.3
800,0.4,0.94,0.1,True,0.39999999999999836,0.1666416490073505,0.305
800,0.4,0.94,0.1,True,0.3999999999999995,0.20253127845070834,0.29
800,0.4,0.94,0.1,True,0.40000000000000097,0.10287716431895366,0.265
800,0.4,0.94,0.1,True,0.4000000000000001,0.06058584010927302,0.285
800,0.4,0.94,0.1,True,0.4000000000000001,0.08918586529319449,0.285
800,0.4,0.94,0.1,True,0.3999999999999988,0.09534468252744926,0.32
800,0.4,0.94,0.1,True,0.39999999999999897,0.06303052304238291,0.305
800,0.4,0.94,0.1,True,0.40000000000000047,0.13137955613759245,0.275
800,0.4,0.94,0.1,True,0.39999999999999947,0.08312807892133617,0.275
800,0.4,0.94,0.1,True,0.4000000000000008,0.1634093685006009,0.275
800,0.4,0.94,0.1,True,0.39999999999999897,0.15614195579765638,0.31
800,0.4,0.94,0.1,True,0.39999999999999886,0.07148444244004998,0.29
800,0.4,0.94,0.1,True,0.40000000000000047,0.1109042357004813,0.32
800,0.4,0.94,0.1,True,0.3999999999999998,0.06168874952949983,0.29
800,0.4,0.94,0.1,True,0.3999999999999989,0.0722214717557045,0.275
800,0.4,0.94,0.1,True,0.4000000000000001,0.07052227599097124,0.28
800,0.4,0.94,0.1,True,0.4000000000000007,0.1205610252338472,0.3
800,0.4,0.94,0.1,True,0.40000000000000024,0.08010711853435216,0.3
800,0.4,0.94,0.2,True,0.39999999999999897,1.4878280990712223,0.3
800,0.4,0.94,0.2,True,0.39999999999999997,1.4078483779701294,0.315
800,0.4,0.94,0.2,True,0.40000000000000097,1.4540890795516015,0.305
800,0.4,0.94,0.2,True,0.4000000000000001,1.1401483892169462,0.325
800,0.4,0.94,0.2,True,0.4000000000000012,1.5399566861617877,0.305
800,0.4,0.94,0.2,True,0.3999999999999999,1.3519265405161784,0.285
800,0.4,0.94,0.2,True,0.40000000000000063,1.5901960806313227,0.27
800,0.4,0.94,0.2,True,0.3999999999999996,1.3142743325696018,0.29
800,0.4,0.94,0.2,True,0.4000000000000002,1.2930807511011748,0.31
800,0.4,0.94,0.2,True,0.3999999999999989,1.2746818724166384,0.31
800,0.4,0.94,0.2,True,0.39999999999999897,1.2949302484871876,0.265
800,0.4,0.94,0.2,True,0.4000000000000018,1.3919327967248645,0.295
800,0.4,0.94,0.2,True,0.39999999999999974,1.385836118820164,0.285
800,0.4,0.94,0.2,True,0.39999999999999775,1.4732168158078731,0.285
800,0.4,0.94,0.2,True,0.3999999999999996,1.2268279913481364,0.33
800,0.4,0.94,0.2,True,0.3999999999999999,1.3687983759367048,0.27
800,0.4,0.94,0.2,True,0.39999999999999925,1.5276931401490514,0.29
800,0.4,0.94,0.2,True,0.40000000000000047,1.504490930122031,0.31
800,0.4,0.94,0.2,True,0.3999999999999977,1.4675422002350893,0.255
800,0.4,0.94,0.2,True,0.4000000000000005,1.2990466916163517,0.3
800,0.4,0.94,0.2,True,0.40000000000000124,1.3499760060020505,0.295
800,0.4,0.94,0.2,True,0.3999999999999993,1.5180677437104828,0.275
800,0.4,0.94,0.2,True,0.39999999999999947,1.764643751231502,0.305
800,0.4,0.94,0.2,True,0.39999999999999974,1.4486259308583127,0.305
800,0.4,0.94,0.2,True,0.400000000000002,1.3463460746554914,0.29
800,0.4,0.94,0.3,True,0.3999999999999991,1.112068499250586,0.305
800,0.4,0.94,0.3,True,0.39999999999999886,1.1741792655472556,0.29
800,0.4,0.94,0.3,True,0.40000000000000113,1.2239043496756685,0.305
800,0.4,0.94,0.3,True,0.40000000000000113,1.0962039779986972,0.285
800,0.4,0.94,0.3,True,0.3999999999999982,1.2219891707996817,0.315
800,0.4,0.94,0.3,True,0.3999999999999998,1.1460453001051203,0.3
800,0.4,0.94,0.3,True,0.40000000000000036,1.3113514888092426,0.29
800,0.4,0.94,0.3,True,0.40000000000000036,1.2022878067985332,0.295
800,0.4,0.94,0.3,True,0.4000000000000008,1.1832597822224327,0.3
800,0.4,0.94,0.3,True,0.3999999999999986,1.2662617593980534,0.305
800,0.4,0.94,0.3,True,0.40000000000000024,1.2855425367044186,0.32
800,0.4,0.94,0.3,True,0.4000000000000003,1.1552735595599652,0.295
800,0.4,0.94,0.3,True,0.39999999999999936,1.1094424503501832,0.305
800,0.4,0.94,0.3,True,0.39999999999999936,1.2537916725972391,0.28
800,0.4,0.94,0.3,True,0.40000000000000124,1.2221822759511056,0.29
800,0.4,0.94,0.3,True,0.3999999999999985,1.1684245914483373,0.325
800,0.4,0.94,0.3,True,0.39999999999999925,1.1338200649829147,0.305
800,0.4,0.94,0.3,True,0.39999999999999986,1.1766585020685647,0.29
800,0.4,0.94,0.3,True,0.3999999999999998,1.2286923800632161,0.3
800,0.4,0.94,0.3,True,0.4,1.1156194199540446,0.29
800,0.4,0.94,0.3,True,0.3999999999999998,1.2135393480432346,0.3
800,0.4,0.94,0.3,True,0.40000000000000013,1.04310086878297,0.305
800,0.4,0.94,0.3,True,0.39999999999999963,1.156919697477067,0.3
800,0.4,0.94,0.3,True,0.4000000000000007,1.2008711829205363,0.285
800,0.4,0.94,0.3,True,0.4000000000000019,1.2369324570630782,0.31
1000,0.4,0.94,0.1,True,0.4000000000000001,0.24112090569762382,0.3
1000,0.4,0.94,0.1,True,0.4000000000000001,0.22313851725041123,0.3
1000,0.4,0.94,0.1,True,0.4000000000000001,0.1990332424671004,0.325
1000,0.4,0.94,0.1,True,0.39999999999999897,0.6225083643952775,0.32
1000,0.4,0.94,0.1,True,0.4000000000000005,0.1450064609678363,0.285
1000,0.4,0.94,0.1,True,0.4000000000000005,0.21404847096748944,0.305
1000,0.4,0.94,0.1,True,0.3999999999999999,0.17465347917129675,0.31
1000,0.4,0.94,0.1,True,0.39999999999999997,0.25026872901054364,0.33
1000,0.4,0.94,0.1,True,0.4000000000000002,0.23502447317371045,0.28
1000,0.4,0.94,0.1,True,0.40000000000000047,0.22784876878185822,0.325
1000,0.4,0.94,0.1,True,0.3999999999999996,0.33115966559586624,0.3
1000,0.4,0.94,0.1,True,0.4000000000000007,0.18822721049485516,0.285
1000,0.4,0.94,0.1,True,0.4000000000000006,0.4568189872903955,0.315
1000,0.4,0.94,0.1,True,0.39999999999999886,0.13561513148892748,0.31
1000,0.4,0.94,0.1,True,0.4000000000000004,0.2732973691690852,0.325
1000,0.4,0.94,0.1,True,0.3999999999999998,0.2782228983813442,0.29
1000,0.4,0.94,0.1,True,0.3999999999999983,0.29339024740123554,0.305
